,Id,author,brand,cateId,couponActid,describe,isNC17,name,picB,picS,price,publishDate
0,DGBJA7-19007TVCU,,,DGBJA7,[],買就送手把︱顏色任選 SONY PS4主機 CUH-2017系列 500G (極致黑),0,SONY PS4主機 CUH-2017系列 500G《極致黑》,/items/DGBJA719007TVCU/000001_1492574010.jpg,/items/DGBJA719007TVCU/000002_1492602247.jpg,9980,
1,DGBJA7-19007TVDS,,,DGBJA7,[],買就送手把︱顏色任選 SONY PS4主機 CUH-2017系列 1TB《極致黑》,0,SONY PS4主機 CUH-2017系列 1TB《極致黑》,/items/DGBJA719007TVDS/000001_1484736821.jpg,/items/DGBJA719007TVDS/000002_1492602152.jpg,10980,
2,DGBJA7-19007TVCT,,,DGBJA7,[],買就送手把︱顏色任選 SONY PS4主機 CUH-2017 系列 500G (冰河白),0,SONY PS4主機 CUH-2017系列 500G《冰河白》,/items/DGBJA719007TVCT/000001_1492484453.jpg,/items/DGBJA719007TVCT/000002_1492602191.jpg,9980,
3,DGBJA7-A9007MKLJ,,,DGBJA7,[],4/25 10:00︱再次開賣 《Sony PS4 Pro》▼4K畫質娛樂體驗PS4 Pro CUH-7017BB01- 1TB (極致黑),0,PlayStation 4 Pro CUH-7017BB01系列 1TB (極致黑),/items/DGBJA7A9007MKLJ/000001_1484728758.jpg,/items/DGBJA7A9007MKLJ/000002_1484728758.jpg,12980,
4,DGBJA7-19007LODH,,,DGBJBD,[], 1T+雙遊戲+周邊組SONY PS4主機 CUH-2017B系列1TB-極致黑  ,0,SONY PS4主機 CUH-2017B系列1TB-極致黑,/items/DGBJA719007LODH/000001_1490866076.jpg,/items/DGBJA719007LODH/000002_1490866076.jpg,11980,
5,DGBJA7-19007V2ZB,,,DGBJBD,[], 雙遊戲+周邊組SONY PS4主機 CUH-2017A系列500GB-冰河白,0,SONY PS4主機 CUH-2017A系列500GB-冰河白,/items/DGBJA719007V2ZB/000001_1490866417.jpg,/items/DGBJA719007V2ZB/000002_1490866417.jpg,10750,
6,DGBJBD-19007YL66,,,DGBJBD,[],▼春電霸王戰↘瘋王激搶▼SONY PS4主機 CUH-2017A系列500GB-極致黑 ,0,SONY PS4主機 CUH-2017A系列500GB-極致黑,/items/DGBJBD19007YL66/000001_1492481804.jpg,/items/DGBJBD19007YL66/000002_1490864823.jpg,10980,
7,DGBJBD-19007YL60,,,DGBJBD,[],500G 主機+秘境探險4+一年會員SONY PS4主機 CUH-2017A系列500GB-極致黑 ,0,SONY PS4主機 CUH-2017A系列500GB-極致黑,/items/DGBJBD19007YL60/000001_1492654648.jpg,/items/DGBJBD19007YL60/000002_1490864870.jpg,10980,
8,DGBJA8-A9007T4US,,,DGBJA8,[],SONY PS4原廠 3D環繞音效 7.1虛擬聲道 無線耳罩耳機組 CECHYA-0090,0,SONY 3D環繞無線耳機(CECHYA-0090),/items/DGBJA8A9007T4US/000001_1487915756.jpg,/items/DGBJA8A9007T4US/000002_1487915756.jpg,4980,
9,DGBJA7-19007TVDC,,,DGBJA7,[],買就送手把︱顏色任選 SONY PS4主機 CUH-2017 系列 1TB (冰河白),0,SONY PS4主機 CUH-2017系列 1TB《冰河白》,/items/DGBJA719007TVDC/000001_1484736731.jpg,/items/DGBJA719007TVDC/000002_1492602173.jpg,10980,
10,DGBJ79-19006U1SZ,,,DGBJ79,[], 強檔遊戲+超值周邊SONY PS Vita 主機-黑色 (PCH-2007 ZA11),0,SONY PS Vita 主機-黑色 (PCH-2007 ZA11),/items/DGBJ7919006U1SZ/000001_1478503936.jpg,/items/DGBJ7919006U1SZ/000002_1478503936.jpg,7380,
11,DGBJ79-19006U1T9,,,DGBJ79,[], 強檔遊戲+超值周邊SONY PS Vita 主機-冰河白 (PCH-2007 ZA22) ,0,SONY PS Vita 主機-冰河白 (PCH-2007 ZA22),/items/DGBJ7919006U1T9/000001_1478503937.jpg,/items/DGBJ7919006U1T9/000002_1478503937.jpg,7380,
12,DGBJA8-A82247412,,,DGBJA8,[],SONY PS4 雙手把充電底座(CUH-ZDC1T)  ,0,SONY PS4 雙手把充電底座(CUH-ZDC1T),/items/DGBJA8A82247412/000001_1478291522.jpg,/items/DGBJA8A82247412/000002_1478291522.jpg,880,
13,DGBJA7-19007V30A,,,DGBJBD,[], 超值遊戲+周邊組合包SONY PS4主機 CUH-2017A系列500GB-冰河白,0,SONY PS4主機 CUH-2017A系列500GB-冰河白,/items/DGBJA719007V30A/000001_1490866524.jpg,/items/DGBJA719007V30A/000002_1490866524.jpg,10480,
14,DGBJA8-A9007HTJ4,,,DGBJA8,[],PS4原廠 主機直立架-幻影透視(CUH-ZST2J) ,0,SONY PS4專用直立架-極致黑,/items/DGBJA8A9007HTJ4/000001_1478548066.jpg,/items/DGBJA8A9007HTJ4/000002_1478548066.jpg,780,
15,DGBJA7-19007V32M,,,DGBJBD,[], 1TB+雙遊戲+周邊組合SONY PS4主機 CUH-2017B系列1TB-冰河白,0,SONY PS4主機 CUH-2017B系列1TB-冰河白,/items/DGBJA719007V32M/000001_1490866637.jpg,/items/DGBJA719007V32M/000002_1490866637.jpg,11980,
16,DGBJA7-19007WO55,,,DGBJBD,[],雙手把+一年保固+周邊組合SONY PS4主機 CUH-2017A系列500GB-極致黑 ,0,SONY PS4主機 CUH-2017A系列500GB-極致黑,/items/DGBJA719007WO55/000001_1490865916.jpg,/items/DGBJA719007WO55/000002_1490864738.jpg,10990,
17,DGBJ79-A81015773,,,DGBJ79,[],SONY PS VITA 2000 Black (PCH-2007ZA11),0,SONY PS VITA Black (PCH-2007ZA11),/items/DGBJ79A81015773/000001_1486346973.jpg,/items/DGBJ79A81015773/000002_1478284456.jpg,5980,
18,DGBJA7-19007V31G,,,DGBJBD,[], 雙遊戲+周邊組SONY PS4主機 CUH-2017A系列500GB-冰河白,0,SONY PS4主機 CUH-2017A系列500GB-冰河白,/items/DGBJA719007V31G/000001_1490866459.jpg,/items/DGBJA719007V31G/000002_1490866459.jpg,10980,
19,DGBJA7-19007LO6W,,,DGBJBD,[], 雙遊戲+周邊組SONY PS4主機 CUH-2017A系列500GB-極致黑 ,0,SONY PS4主機 CUH-2017A系列500GB-極致黑,/items/DGBJA719007LO6W/000001_1490865944.jpg,/items/DGBJA719007LO6W/000002_1490865013.jpg,10750,
